"",sepal length,sepal width,petal length,petal width,species_setosa,species_versicolor,species_virginica
sample 90,5.5,2.5,4.0,1.3,false,true,false
sample 91,5.5,2.6,4.4,1.2,false,true,false
sample 92,6.1,3.0,4.6,1.4,false,true,false
sample 93,5.8,2.6,4.0,1.2,false,true,false
sample 94,5.0,2.3,3.3,1.0,false,true,false
sample 95,5.6,2.7,4.2,1.3,false,true,false
sample 96,5.7,3.0,4.2,1.2,false,true,false
sample 97,5.7,2.9,4.2,1.3,false,true,false
sample 98,6.2,2.9,4.3,1.3,false,true,false
sample 99,5.1,2.5,3.0,1.1,false,true,false
sample 100,5.7,2.8,4.1,1.3,false,true,false
sample 101,6.3,3.3,6.0,2.5,false,false,true
sample 102,5.8,2.7,5.1,1.9,false,false,true
sample 103,7.1,3.0,5.9,2.1,false,false,true
sample 104,6.3,2.9,5.6,1.8,false,false,true
sample 105,6.5,3.0,5.8,2.2,false,false,true
sample 106,7.6,3.0,6.6,2.1,false,false,true
sample 107,4.9,2.5,4.5,1.7,false,false,true
sample 108,7.3,2.9,6.3,1.8,false,false,true
sample 109,6.7,2.5,5.8,1.8,false,false,true
sample 110,7.2,3.6,6.1,2.5,false,false,true
sample 111,6.5,3.2,5.1,2.0,false,false,true
sample 112,6.4,2.7,5.3,1.9,false,false,true
sample 113,6.8,3.0,5.5,2.1,false,false,true
sample 114,5.7,2.5,5.0,2.0,false,false,true
sample 115,5.8,2.8,5.1,2.4,false,false,true
sample 116,6.4,3.2,5.3,2.3,false,false,true
sample 117,6.5,3.0,5.5,1.8,false,false,true
sample 118,7.7,3.8,6.7,2.2,false,false,true
sample 119,7.7,2.6,6.9,2.3,false,false,true
sample 120,6.0,2.2,5.0,1.5,false,false,true
sample 121,6.9,3.2,5.7,2.3,false,false,true
sample 122,5.6,2.8,4.9,2.0,false,false,true
sample 123,7.7,2.8,6.7,2.0,false,false,true
sample 124,6.3,2.7,4.9,1.8,false,false,true
sample 125,6.7,3.3,5.7,2.1,false,false,true
sample 126,7.2,3.2,6.0,1.8,false,false,true
sample 127,6.2,2.8,4.8,1.8,false,false,true
sample 128,6.1,3.0,4.9,1.8,false,false,true
sample 129,6.4,2.8,5.6,2.1,false,false,true
sample 130,7.2,3.0,5.8,1.6,false,false,true
sample 131,7.4,2.8,6.1,1.9,false,false,true
sample 132,7.9,3.8,6.4,2.0,false,false,true
sample 133,6.4,2.8,5.6,2.2,false,false,true
sample 134,6.3,2.8,5.1,1.5,false,false,true
sample 135,6.1,2.6,5.6,1.4,false,false,true
sample 136,7.7,3.0,6.1,2.3,false,false,true
sample 137,6.3,3.4,5.6,2.4,false,false,true
sample 138,6.4,3.1,5.5,1.8,false,false,true
sample 139,6.0,3.0,4.8,1.8,false,false,true
sample 140,6.9,3.1,5.4,2.1,false,false,true
sample 141,6.7,3.1,5.6,2.4,false,false,true
sample 142,6.9,3.1,5.1,2.3,false,false,true
sample 143,5.8,2.7,5.1,1.9,false,false,true
sample 144,6.8,3.2,5.9,2.3,false,false,true
sample 145,6.7,3.3,5.7,2.5,false,false,true
sample 146,6.7,3.0,5.2,2.3,false,false,true
sample 147,6.3,2.5,5.0,1.9,false,false,true
sample 148,6.5,3.0,5.2,2.0,false,false,true
sample 149,6.2,3.4,5.4,2.3,false,false,true
sample 150,5.9,3.0,5.1,1.8,false,false,true
